Timestamp,SourceID,Event Type
1.0010927840093147,66,ON
1.0036979030702864,31,ON
1.009071566332975,98,ON
1.016117225644414,32,ON
1.01883095943846,67,ON
1.032952773133933,13,ON
1.0430005628099983,75,ON
1.0481947662984938,10,ON
1.055815081308284,48,ON
1.057755409619461,57,ON
1.0622620766031097,38,ON
1.0852149949694578,51,ON
1.1014264490939552,86,ON
1.1030041156615311,18,ON
1.1130695338237295,79,ON
1.117005965858438,76,ON
1.1178669826942516,53,ON
1.1192382239981509,56,ON
1.1222633579280406,9,ON
1.141466248742289,2,ON
1.14179223141524,87,ON
1.1481052101022446,94,ON
1.1519524012067743,39,ON
1.2012210008863293,17,ON
1.2054991317171724,89,ON
1.235879871520206,35,ON
1.2483733582002097,83,ON
1.249414989751227,80,ON
1.25869619888697,62,ON
1.269074296993521,20,ON
1.2716492563324602,8,ON
1.2733578414549567,93,ON
1.280294992311034,63,ON
1.2810228744638665,61,ON
1.2820272552602818,21,ON
1.3035027233983325,23,ON
1.345220088911905,54,ON
1.3465896819510017,92,ON
1.3467296191080942,5,ON
1.3522367951622598,82,ON
1.3709225562089469,99,ON
1.382383354445112,55,ON
1.388328414869073,58,ON
1.4051843910494537,0,ON
1.4127264586009831,84,ON
1.431774144520882,42,ON
1.4633309174162061,96,ON
1.496973628091362,24,ON
1.5103671530098501,68,ON
1.536680596514733,15,ON
1.5616156251584672,3,ON
1.5910697127933324,30,ON
1.5937431739311378,11,ON
1.6311741380806373,60,ON
1.6378414133891017,27,ON
1.6561845459636282,34,ON
1.7204651429647815,28,ON
1.7281022908538197,7,ON
1.7412117731410048,52,ON
1.7639817208763116,74,ON
1.7714498923733375,50,ON
1.7771339443063323,22,ON
1.8416847756589627,40,ON
1.856533086992594,88,ON
1.8690077197925137,45,ON
1.8876537903300679,69,ON
1.8935476111062277,81,ON
1.908602100474478,36,ON
1.9111821674910565,1,ON
1.9554373714012057,16,ON
2.00152498308078,25,ON
2.0720712624511393,38,OFF
2.101172659812537,4,ON
2.1062777216605935,31,OFF
2.107974651648109,33,ON
2.1372919255945915,9,OFF
2.1777089087082544,85,ON
2.2480394073603707,78,ON
2.249358509816033,35,OFF
2.2740354583498985,95,ON
2.2912451002391148,21,OFF
2.2948674369995876,20,OFF
2.3421807504557384,48,OFF
2.3487581384150307,87,OFF
2.35848570422987,23,OFF
2.3714638823625904,67,OFF
2.3786032554954883,65,ON
2.465838672860679,59,ON
2.476912948033456,46,ON
2.4796346053893936,98,OFF
2.4866770523673396,41,ON
2.519303941681873,99,OFF
2.5572562851018805,73,ON
2.616456786547813,24,OFF
2.6194250944323,56,OFF
2.6289604725338624,5,OFF
2.6311624584057327,57,OFF
2.6483636516360707,44,ON
2.654767514719533,17,OFF
2.6723240136236903,3,OFF
2.6762977993125543,71,ON
2.677815905320005,13,OFF
2.682717675277748,62,OFF
2.6851532507979736,60,OFF
2.686388853945829,80,OFF
2.694161052112702,84,OFF
2.695495327212348,53,OFF
2.7239916516074025,86,OFF
2.733948289892452,19,ON
2.734424231764554,32,OFF
2.7678404664199445,10,OFF
2.850892828417863,14,ON
2.8534184608904054,68,OFF
2.867758812314145,30,OFF
2.875724535186748,39,OFF
2.9299734092852674,1,OFF
2.9523821647443045,75,OFF
2.968483095408748,91,ON
3.053111303232194,8,OFF
3.061993175494462,11,OFF
3.062368519632443,28,OFF
3.080843437283958,55,OFF
3.081619592952764,81,OFF
3.088956349719089,58,OFF
3.1103077428340287,74,OFF
3.1148430415515573,93,OFF
3.1253268632528273,61,OFF
3.145460056417142,63,OFF
3.182369424868434,25,OFF
3.203445614359166,88,OFF
3.224252040528148,96,OFF
3.2313029963740423,37,ON
3.2582782634704976,51,OFF
3.266163298263817,36,OFF
3.287290476066528,82,OFF
3.321170371315286,89,OFF
3.3806077943151145,0,OFF
3.4473723830717677,18,OFF
3.5106380333506113,2,OFF
3.5205465475156883,4,OFF
3.5668851651748437,78,OFF
3.606579210424834,72,ON
3.608738648519226,31,ON
3.6144210973263,38,ON
3.6192675012964495,98,ON
3.64801035880597,35,ON
3.6657095120262144,45,OFF
3.7247153728758153,80,ON
3.7732592689189173,29,ON
3.7856213776335155,40,OFF
3.7955222158252258,95,OFF
3.8152340894678805,27,OFF
3.8253325663332536,48,ON
